Tiempo,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
52,25,13,12,4022.962043567174,103.048701925354,-4074.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
53,25,13,12,4022.962043567174,103.048701925354,-4073.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
54,25,13,12,4022.962043567174,103.048701925354,-4072.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
55,25,13,12,4022.962043567174,103.048701925354,-4071.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
56,25,13,12,4022.962043567174,103.048701925354,-4070.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
57,25,13,12,4022.962043567174,103.048701925354,-4069.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
58,25,13,12,4022.962043567174,103.048701925354,-4068.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
59,25,13,12,4022.962043567174,103.048701925354,-4067.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
60,25,13,12,4022.962043567174,103.048701925354,-4066.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
61,25,13,12,4022.962043567174,103.048701925354,-4065.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
62,25,13,12,4022.962043567174,103.048701925354,-4064.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
63,25,13,12,4022.962043567174,103.048701925354,-4063.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
64,25,13,12,4022.962043567174,103.048701925354,-4062.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
65,25,13,12,4022.962043567174,103.048701925354,-4061.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
66,25,13,12,4022.962043567174,103.048701925354,-4060.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
67,25,13,12,4022.962043567174,103.048701925354,-4059.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
68,25,13,12,4022.962043567174,103.048701925354,-4058.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
69,25,13,12,4022.962043567174,103.048701925354,-4057.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
70,25,13,12,4022.962043567174,103.048701925354,-4056.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
71,25,13,12,4022.962043567174,103.048701925354,-4055.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
72,25,13,12,4022.962043567174,103.048701925354,-4054.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
73,25,13,12,4022.962043567174,103.048701925354,-4053.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
74,25,13,12,4022.962043567174,103.048701925354,-4052.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
75,25,13,12,4022.962043567174,103.048701925354,-4051.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
76,25,13,12,4022.962043567174,103.048701925354,-4050.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
77,25,13,12,4022.962043567174,103.048701925354,-4049.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
78,25,13,12,4022.962043567174,103.048701925354,-4048.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
79,25,13,12,4022.962043567174,103.048701925354,-4047.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
80,25,13,12,4022.962043567174,103.048701925354,-4046.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
81,25,13,12,4022.962043567174,103.048701925354,-4045.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
82,25,13,12,4022.962043567174,103.048701925354,-4044.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
83,25,13,12,4022.962043567174,103.048701925354,-4043.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
84,25,13,12,4022.962043567174,103.048701925354,-4042.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
85,25,13,12,4022.962043567174,103.048701925354,-4041.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
86,25,13,12,4022.962043567174,103.048701925354,-4040.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
87,25,13,12,4022.962043567174,103.048701925354,-4039.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
88,25,13,12,4022.962043567174,103.048701925354,-4038.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
89,25,13,12,4022.962043567174,103.048701925354,-4037.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
90,25,13,12,4022.962043567174,103.048701925354,-4036.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
91,25,13,12,4022.962043567174,103.048701925354,-4035.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
92,25,13,12,4022.962043567174,103.048701925354,-4034.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
93,25,13,12,4022.962043567174,103.048701925354,-4033.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
94,25,13,12,4022.962043567174,103.048701925354,-4032.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
95,25,13,12,4022.962043567174,103.048701925354,-4031.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
96,25,13,12,4022.962043567174,103.048701925354,-4030.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
