Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
69,80.57813850800929,92.41835260427484,0.0,0.0,1311.2869563239778,1003.9939889000315
70,81.87785706719515,94.09570523248038,0.0,0.0,1346.15939405441,1020.451097859425
71,82.70193034909936,94.87989048514238,0.0,0.0,1379.2233084442994,1033.6388014150775
72,83.29538120713124,96.10280337981558,0.0,0.0,1413.442981706253,1042.9261827495513
73,84.97596663927104,97.11008817842261,0.0,0.0,1422.900958529135,1058.3655594692118
74,86.08503377221886,98.46755033581657,0.0,0.0,1428.6102307343806,1068.470763100499
75,87.13767781327344,100.07500885443388,0.0,0.0,1461.9118551486592,1078.188567895539
76,88.25667087730295,101.02622749954637,0.0,0.0,1472.3154067404441,1098.4418398526925
77,89.7609137318157,102.52284682271913,0.0,0.0,1479.7870027827926,1107.5385615577693
78,90.84050002619078,104.48694423493443,0.0,0.0,1486.67320468382,1124.941806996191
79,91.52222754762644,105.50902333236667,0.0,0.0,1494.0584670564162,1145.6335708374695
80,92.45678145216522,105.92801386360657,0.0,0.0,1501.7314582168049,1159.1922606013618
81,93.18105868777887,107.810419109114,0.0,0.0,1536.936977463709,1172.475172563698
82,94.61963548537744,108.86492328179253,0.0,0.0,1573.7858646964794,1194.0194384476074
83,95.88064240837994,109.93415076335933,0.0,0.0,1584.2146878124945,1210.1093098093197
84,97.00151419323251,111.65221782624852,0.0,0.0,1590.9389448851252,1228.7631424739268
85,98.43033012960932,113.04819968951817,0.0,0.0,1597.7263405807469,1244.1119781552165
86,100.0663513260021,114.50356955867717,0.0,0.0,1626.615890736972,1254.8838200074085
87,101.26045648423293,115.79885833061412,0.0,0.0,1632.7946335838546,1271.255489319815
88,102.41367214254647,117.42074011940001,0.0,0.0,1672.016725969206,1292.0712124935885
89,103.36875664831985,118.92656370089131,0.0,0.0,1681.0336017273178,1312.9638271820809
90,104.10493731458298,120.33580717990999,0.0,0.0,1721.7795598629011,1323.4494431605858
91,105.87274324316554,122.28139140931437,0.0,0.0,1731.952495936357,1338.2719365697874
92,106.86096076489892,124.09167806962205,0.0,0.0,1758.6024573989919,1360.1061914885422
93,108.20837623029458,125.37684601873185,0.0,0.0,1789.6732207293794,1371.667893500221
94,110.02224106460383,127.31072048602181,0.0,0.0,1796.91197463629,1390.8362882310016
