Tons,Kms,Falla,Edad,Modelo,ID
2377.630000000001,1754.8999999999999,1,292.1333333333333,0,AWOU5IMX
2547.2699999999986,1969.9,1,354.1166666666667,0,AWOU5IMX
1551.66,1226.9999999999998,1,191.16666666666666,0,AWOU5IMX
5186.609999999999,4119.000000000003,1,663.45,0,AWOU5IMX
2872.4799999999996,2248.0999999999995,1,356.53333333333336,0,AWOU5IMX
2817.7500000000014,2217.299999999999,1,370.1,0,AWOU5IMX
4611.150000000001,3838.9999999999995,1,626.65,0,AWOU5IMX
1220.4799999999996,903.6000000000001,1,149.2,0,AWOU5IMX
2854.4199999999996,2195.599999999999,1,361.43333333333334,0,AWOU5IMX
2829.5999999999995,2333.099999999999,1,375.3333333333333,0,AWOU5IMX
3737.349999999999,3064.400000000001,1,502.78333333333336,0,AWOU5IMX
2703.2799999999993,1960.7000000000005,1,330.06666666666666,0,AWOU5IMX
2514.210000000001,2023.8999999999996,1,328.1,0,AWOU5IMX
3718.92,2708.7000000000007,1,454.1666666666667,0,AWOU5IMX
4242.759999999999,3714.7,1,599.6833333333333,0,AWOU5IMX
4157.890000000002,3378.8999999999987,1,550.45,0,AWOU5IMX
1280.5699999999995,953.1999999999998,1,155.96666666666667,0,AWOU5IMX
4490.279999999997,3578.0,1,599.15,0,AWOU5IMX
2556.2400000000016,1930.8000000000002,1,346.3333333333333,0,AWOU5IMX
4246.900000000001,3259.8999999999987,1,542.2333333333333,0,AWOU5IMX
3975.2599999999998,2928.9000000000015,1,497.6666666666667,0,AWOU5IMX
1263.86,972.1000000000001,1,159.06666666666666,0,WVSI44XE
2384.88,1735.2,1,288.1,0,WVSI44XE
1590.0599999999997,1183.0999999999995,1,195.81666666666666,0,WVSI44XE
2137.2799999999997,1794.8999999999992,1,285.6166666666667,0,WVSI44XE
2331.860000000001,1823.9999999999998,1,308.51666666666665,0,WVSI44XE
2330.5500000000006,1742.6000000000001,1,302.51666666666665,0,WVSI44XE
1682.58,1309.6999999999996,1,216.75,0,WVSI44XE
1111.9100000000003,975.6,1,155.98333333333332,0,WVSI44XE
725.87,558.8000000000001,1,96.71666666666667,0,WVSI44XE
2587.16,2042.8999999999996,1,347.6333333333333,0,WVSI44XE
1683.83,1241.7999999999997,1,223.08333333333334,0,WVSI44XE
1938.4599999999998,1442.4000000000005,1,236.8,0,WVSI44XE
2486.71,2035.7000000000003,1,320.4166666666667,0,WVSI44XE
